	Original	Predicted
0	27.2	27.584873201264838
1	25.3	23.245767283695578
2	23.9	24.54141509071836
3	25.1	23.31903089067641
4	21.2	21.58387385961241
5	24.0	23.01657215983814
6	20.0	19.951879845693846
7	23.1	22.7380322696016
8	19.0	19.27797060376892
9	25.2	25.037732408399606
10	27.1	26.415049198237185
11	19.1	19.898295829805058
12	23.9	24.826848814053943
13	23.6	23.406334862567597
14	18.4	19.78716080834522
15	27.6	27.156273095328807
16	22.4	22.782852891386526
17	18.7	18.911988671387743
18	23.6	23.188382443828793
19	23.5	23.50778623953815
20	25.0	23.347021889861054
21	20.9	19.97285402592545
22	25.8	25.19335942995547
23	24.0	23.352162802247747
24	23.0	22.552450855411323
25	22.1	23.251243346706417
26	21.4	22.891699248071887
27	25.4	26.182737080191927
28	24.1	25.26105921958102
29	26.3	24.296667480732122
30	21.5	23.36230324253686
31	23.5	22.6943186358762
32	24.3	24.3317757596226
33	26.8	26.0450324401923
34	21.5	22.766645911210674
35	23.4	22.43527390097507
36	27.0	26.67124971333527
37	20.0	20.04497061878863
38	26.8	26.914259215218436
39	22.7	22.473887547043024
40	24.0	22.006894587575864
41	26.7	25.52931029328183
42	20.4	20.873031503417792
43	22.9	23.936557091834697
44	27.0	26.72116623962565
45	19.5	18.78360555897032
46	27.2	26.56043576065331
47	22.1	22.89167285004999
48	19.4	19.980970917696713
49	19.6	20.648002440351203
50	21.8	21.539608408373216
51	29.8	27.065309052110294
52	21.2	21.816231664610914
53	20.5	19.96268483981892
54	19.7	20.276665005730596
55	25.1	23.630359701497333
56	23.4	22.25879004398479
57	19.0	19.769462671791207
58	21.0	21.98882671838164
59	19.2	19.526688935247627
60	25.7	24.492844552490986
61	18.8	18.707612212258727
62	26.8	26.321828535103684
63	20.8	20.719044845890444
64	27.3	26.210316120122954
65	21.0	21.79523169795706
66	23.0	22.056507414462477
67	27.2	26.53527735111875
68	20.9	20.875959464573906
69	24.8	24.63912133907313
70	23.6	23.25216568697518
71	22.9	23.706743856128703
72	23.1	22.993933031436164
73	23.4	23.175762432703618
74	24.0	23.860761112861756
75	19.5	20.03572949381833
76	25.9	26.03324679363487
77	23.0	23.78469962985206
78	23.9	22.537275167326445
79	21.2	21.679852153623575
80	20.8	19.86150810039264
81	23.9	23.928803880965223
82	24.2	23.53956184857607
83	17.6	18.759824559103066
84	22.9	22.94909452061916
85	25.9	23.957228492525406
86	20.7	21.866006931440765
87	20.5	21.41027201428236
88	22.0	20.94693001633663
89	21.7	22.423529391251257
90	21.1	20.824804443474356
91	21.8	23.410013353033982
92	22.5	22.383714106034052
93	24.0	23.659348929075648
94	21.7	21.72583377468946
95	22.5	21.626568907466794
96	21.1	20.626446379735206
97	26.0	24.90702199343743
98	26.6	26.08509166364458
99	20.6	21.356281300290117
100	24.3	23.74294472033862
101	24.0	24.80587508351972
102	20.5	21.058538163123387
103	17.2	18.77743446381259
104	20.6	21.40066886764018
105	20.5	20.219094506876402
106	22.5	23.303499134660527
107	17.3	18.045446582339295
108	27.4	25.91911380129199
109	26.6	25.9530258516293
110	22.3	22.64635414135813
111	22.6	22.888805725741854
112	19.3	21.469007880954774
113	23.9	25.201278996865366
114	24.4	22.952951982284667
115	22.6	23.15426367622375
116	23.1	22.44538158403827
117	23.0	23.696403903616307
118	22.4	22.694897671049713
119	22.9	22.739546269895452
120	18.6	18.45947507863961
121	19.5	21.056259959515174
122	24.0	23.597651432618104
123	26.3	25.81227599559147
124	25.0	25.33124229635085
125	24.0	23.874572589803943
126	27.2	26.712715309631847
127	26.0	24.947744316582188
128	23.1	22.46294696328234
129	20.2	21.516333621084563
130	26.2	24.923759750095662
131	20.8	21.3000948145135
132	20.3	20.907373184180216
133	18.7	21.150389085492144
134	24.8	23.681514594300832
135	22.8	21.08171861015902
136	24.4	23.257068153513522
137	21.8	21.46823951262201
138	20.4	18.94543589258658
139	25.9	25.575190133221277
140	26.0	26.494931210470856
141	28.0	27.12422156096361
142	23.0	22.79853003197239
143	20.5	23.030729457959353
144	27.5	24.937110274117828
145	17.1	19.434873858976214
146	23.9	23.15201281008074
147	23.6	23.710108714874735
148	25.8	26.438184054886257
149	22.1	20.962762014593217
150	25.1	24.142498055547833
151	21.7	22.55967890714449
152	26.1	26.918662376730797
153	26.5	25.99585980572781
154	21.1	21.90388401396332
155	26.3	25.893709481467475
156	20.2	22.430644840183465
157	24.6	24.497698540327548
158	22.7	21.79033436262003
159	23.4	23.98241815686252
160	27.6	26.336294426316833
161	23.4	24.455240809007748
162	21.5	21.194419630101557
163	26.2	26.97697948839477
164	20.7	21.102865449580193
165	20.7	20.539155763745228
166	24.3	24.086232705902063
167	21.9	22.204891474567177
168	23.2	23.595477162364556
169	20.5	18.667352570032993
170	23.2	23.343478598780212
171	26.8	25.731415827812548
172	19.8	21.325610736918993
173	22.0	23.8785884868642
174	22.1	22.57724404617244
175	22.5	22.017090603646338
176	26.5	25.070322029128825
177	24.6	23.479681996253202
